Sno,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed, Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
1,1/30/2020,6:00 PM,Kerala,0,0,1,579,47697,,23757,24517,2,48276
2,1/31/2020,6:00 PM,Kerala,0,0,1,635,57969,,27348,31252,4,58604
3,2/1/2020,6:00 PM,Kerala,0,0,2,1299,98150,,41361,58083,5,99449
4,2/2/2020,6:00 PM,Kerala,0,0,3,3017,192508,,81901,113613,11,195525
5,2/3/2020,6:00 PM,Kerala,0,0,3,3946,247334,,98111,153145,24,251280
6,2/4/2020,6:00 PM,Kerala,0,0,3,5367,360598,,132784,233143,38,365965
7,2/5/2020,6:00 PM,Kerala,0,0,3,8128,541253,,193899,355402,80,549381
8,2/6/2020,6:00 PM,Kerala,0,0,3,11192,747816,,267856,491049,103,759008
9,2/7/2020,6:00 PM,Kerala,0,0,3,13156,821902,,296283,538647,128,835058
10,2/8/2020,6:00 PM,Kerala,0,0,3,18858,1258246,,444137,832766,201,1277104
11,2/9/2020,6:00 PM,Kerala,0,0,3,19604,1274180,,449119,844448,217,1293784
12,2/10/2020,6:00 PM,Kerala,0,0,3,27377,1699113,,586081,1140137,272,1726490
13,2/11/2020,6:00 PM,Kerala,0,0,3,36921,2258570,,771229,1523939,323,2295491
14,2/12/2020,6:00 PM,Kerala,0,0,3,43604,2771199,,939069,1875368,366,2814803
15,2/13/2020,6:00 PM,Kerala,0,0,3,48300,3019436,,1022380,2044950,406,3067736
16,2/14/2020,6:00 PM,Kerala,0,0,3,58890,3068217,,1061307,2065391,409,3127107
17,2/15/2020,6:00 PM,Kerala,0,0,3,69372,3280893,,1152344,2197431,490,3350265
18,2/16/2020,6:00 PM,Kerala,0,0,3,76794,3451177,,1218507,2308898,566,3527971
19,2/17/2020,6:00 PM,Kerala,0,0,3,86001,3739834,,1324273,2500887,675,3825835
20,2/18/2020,6:00 PM,Kerala,0,0,3,99015,4215289,,1504527,2809042,735,4314304
21,2/19/2020,6:00 PM,Kerala,0,0,3,133911,4632013,,1710466,3054631,827,4765924
22,2/20/2020,6:00 PM,Kerala,0,0,3,195504,4916323,,1896705,3214244,878,5111827
23,2/21/2020,6:00 PM,Kerala,0,0,3,206130,4961969,,1928947,3238273,879,5168099
24,2/22/2020,6:00 PM,Kerala,0,0,3,290785,5324714,,2211020,3403576,903,5615499
25,2/23/2020,6:00 PM,Kerala,0,0,3,363692,5638782,,2458329,3543208,937,6002474
26,2/24/2020,6:00 PM,Kerala,0,0,3,480760,5981510,,2785194,3676114,962,6462270
27,2/25/2020,6:00 PM,Kerala,0,0,3,609108,6349445,,3153649,3803908,996,6958553
28,2/26/2020,6:00 PM,Kerala,0,0,3,740517,6683300,,3504429,3918381,1007,7423817
29,2/27/2020,6:00 PM,Kerala,0,0,3,781304,6906048,,3684053,4002279,1020,7687352
30,2/28/2020,6:00 PM,Kerala,0,0,3,786042,6924325,,3699535,4009812,1020,7710367
